id,City,Gross regional product (bill. Yuan),First industry(bill. Yuan),Second industry(bill. Yuan),Tertiary industry(bill. Yuan),Large enterpriss,Foreign capital(bill. USD)
1,Suqian,96.71,7.08,46.76,42.87,530,0.38
2,Taizhou,215.01,7.03,111.1,96.88,1118,1.51
3,Zhenjiang,196.58,2.86,91.64,102.08,728,0.87
4,Yangzhou,347.59,10,163.05,174.54,1520,1.22
5,Yancheng,220.2,17.14,106.66,96.4,1167,0.91
6,Huaian,238.7,19.99,103.89,114.86,1137,1.18
7,Lianyungang,154.93,12.57,67.84,74.51,499,0.6
8,Nantong,304.89,6.09,139.21,159.59,1450,2.58
9,Suzhou,877.96,7.69,415.12,455.15,4721,4.53
10,Changzhou,612.39,10.57,282.04,319.78,3863,2.42
11,Xuzhou,352.73,12.47,152.38,187.87,735,1.9
12,Wuxi,591.92,3.75,250.18,337.99,3092,3.69
13,Nanjing,1282.04,27.34,472.16,782.54,2556,3.85
