id,City,Population(mill.),Employee(mill.),Budget revenue(bill. Yuan),Budget expenditure(bill. Yuan),Average disposable income(Yuan),Housing area per capita(m²)
1,Suqian,1.6,4.5,10.8,18.2,22918,46.5
2,Taizhou,1.6,4.7,18.7,24.9,34642,57.3
3,Zhenjiang,1.2,3.6,15.7,20.5,40883,51.7
4,Yangzhou,2.5,4.7,22.5,35.2,34076,49.7
5,Yancheng,2.4,6.5,18.8,32.3,29488,45.8
6,Huaian,3.1,4.3,18.6,48.7,27696,49
7,Lianyungang,2.1,3.5,16.6,24.3,25864,50.2
8,Nantong,2.4,7.8,27.4,34,37071,54.5
9,Suzhou,5.6,13.5,113.3,110.7,55476,51.3
10,Changzhou,4,5.4,49.4,50.8,45933,57.1
11,Xuzhou,3.4,7.3,28.9,40,27385,50.9
12,Wuxi,3.7,7.6,63.8,68.5,50373,50.5
13,Nanjing,8.4,9.8,147,153.3,52916,43.4
